Station Names,Docks
Fort York Blvd / Capreol Ct,
Wellesley Station Green P,
St. George St / Bloor St W,
Madison Ave / Bloor St W,
King St W / York St,
Bay St / College St (East Side),
College St / Huron St,
Wellesley St W / Queen's Park Cres,
King St E / Jarvis St,
King St W / Spadina Ave,
Elizabeth St / Edward St (Bus Terminal),
Scott St / The Esplanade,
Sherbourne St / Carlton St (Allan Gardens),
King St W / Bay St (West Side),
Bay St / Queens Quay W (Ferry Terminal),
Widmer St / Adelaide St W - SMART,
Bremner Blvd / Rees St,
Temperance St Station,
Phoebe St / Spadina Ave,
Bay St / Albert St,
Simcoe St / Queen St W,
College St / Borden St,
Dundonald St / Church St,
Ted Rogers Way / Bloor St E,
Bay St / St. Joseph St,
Beverley St / Dundas St W,
Gould St / Mutual St,
Bay St / Bloor St W (East Side),
Bay St / Wellesley St W,
Jarvis St / Isabella St,
Augusta Ave / Dundas St W,
Union Station,
Church St / Bloor St E,
Queen St W / Ossington Ave,
Trinity St /Front St E,
Bathurst St / Dundas St W,
Dundas St W / Yonge St,
Simcoe St / Michael Sweet Ave,
Euclid Ave / Bloor St W,
Edward St / Yonge St,
Sherbourne St / Wellesley St E,
Queens Quay W / Lower Simcoe St,
Church St / Alexander St,
Bond St / Queen St E,
Niagara St / Richmond St W,
University Ave / Gerrard St W (East Side),
Front St W / Yonge St (Hockey Hall of Fame),
Portland St / Queen St W,
Richmond St E / Jarvis St Green P,
Wellington St W / Bay St,
Metro Hall Plaza,
Navy Wharf Crt / Bremner Blvd,
Jarvis St / Carlton St,
Simcoe St / Wellington St W South,
"Huron St / Harbord St
",
Front St W / Blue Jays Way,
Dalton Rd / Bloor St W,
Queen's Park / Bloor St W,
51 Parliament St,
Dundas St E / Parliament St,
Willcocks St / St. George St,
Blantyre Park,
Queen St W / Spadina Ave,
25 York St / Union Station South,
161 Bleecker St (South of Wellesley),
Spadina Ave / Fort York Blvd,
King St E / Church St,
Queens Quay W / Dan Leckie Way,
York St / Queens Quay W,
College Park South,
College St / Major St,
McGill St / Church St,
Danforth Ave / Barrington Ave,
High Park - Grenadier Cafe,
Danforth Ave / Westlake Ave,
High Park - West Rd,
Danforth Ave / Aldridge Ave,
Danforth Ave / Coxwell Ave,
Church St / Wood St,
Danforth Ave / Lamb Ave,
Donlands Subway Station,
Danforth Ave / Gough Ave,
14 Arundel Ave,
Danforth Ave / Ellerbeck St,
Lower Don River Trail and Taylor Creek Trail,
Riverdale Park North (Broadview Ave),
Riverdale Park South,
Cherry St / Mill St,
Dundas St E / Regent Park Blvd,
Lower Sherbourne St / The Esplanade,
Nelson St / Duncan St,
Jimmie Simpson Park (Queen St E),
King St E / River St,
Queen St E / Sackville St,
Mill St / Tannery Rd,
Cherry St / Distillery Ln,
Front St E / Cherry St,
Seaton St / Dundas St E - SMART,
Queen St E / Berkeley St,
King St W / Douro St,
Liberty St / Fraser Ave Green P,
Parliament St / Aberdeen Ave,
Carlton St / Parliament St,
Howard St / Sherbourne St,
Bloor St E / Parliament St,
640 Bloor Street E,
King St W / Bay St (East Side),
Sumach St / Carlton St (Riverdale Farm),
Gerrard St E / River St,
Jarvis St / Dundas St E,
Niagara St / Tecumseth St,
424 Wellington St W,
Dundas St E / Broadview Ave,
Yonge St / Yorkville Ave,
Bay St / Scollard St,
Yonge St / Aylmer Ave,
Davenport Rd / Avenue Rd,
Davenport Rd / Bedford Rd,
Taddle Creek Park,
Kendal Ave / Spadina Rd,
Summerhill Subway Station,
Hanna Ave / Liberty St,
Davenport Rd / Bathurst St,
Davenport Rd / Christie St,
Glen Edyth Dr / Davenport Rd,
Macpherson Ave / Spadina Rd,
Bridgman Ave / Kendal Ave,
Bridgman Ave / Bathurst St,
Kendal Ave / Bernard Ave,
Palmerston Ave / Vermont Ave,
Christie St / Benson Ave (Wychwood Barns),
King St W / Fraser Ave,
King St W / Joe Shuster Way,
Yarmouth Rd / Christie St,
Dufferin St / Sylvan Av (Dufferin Grove Park),
Essex St / Christie St - SMART,
"Ossington Ave / Bloor St W
temp relocate to Concord / Bloor",
Bloor St W / Christie St,
Bathurst Subway Station,
Bathurst St / Lennox St,
Salem Ave / Bloor St W,
Dufferin St / Bloor St W,
King St W / Stafford St,
King St W / Tecumseth St,
Beverley St / College St,
Hayter St / La Plante Ave,
Yonge St / Wood St,
Gould St / Yonge St (TMU),
Queens Quay / Yonge St,
Front St W / Bay St (North Side),
Spadina Ave / Willcocks St,
Ontario Place Blvd / Lake Shore Blvd W,
Strachan Ave / Princes' Blvd,
Cariboo Ave / Railpath Trail,
Bloor St W / Dundas St W,
HTO Park (Queens Quay W),
Bathurst St / Fort York Blvd,
Lansdowne Subway Station,
Lansdowne Ave / Whytock Ave,
Sterling Rd / Dundas St W,
St Clarens Ave / College St,
"Ossington Ave / College St
temp relocate to Shaw / College",
Exhibition GO (Atlantic Ave),
Augusta Ave / Denison Sq,
St. George St / Hoskin Ave,
Central Tech (Harbord St),
Harbord St / Clinton St,
Dufferin St / Queen St W,
Mortimer Ave / Coxwell Ave,
Ulster St / Bathurst St,
Roxton Rd / Harbord St,
Queen St W / Dovercourt Rd,
Queen St W / Cowan Ave,
College St / Markham St,
"York St / Queen St W (City Hall)
formerly York St / Bay St (City Hall)",
Bathurst St/Queens Quay(Billy Bishop Airport),
College St / Crawford St,
Rusholme Park Cres / College St,
Claremont St / Dundas St W,
Dundas St W / Crawford St,
80 Clinton St,
Ossington Ave / Harrison St,
Mary McCormick Rec Centre (Sheridan Ave),
Fort York Blvd / Garrison Rd,
Wellington St W / Stafford St,
Soho St / Queen St W,
Lake Shore Blvd W / Ellis Ave,
High Park Subway Station,
Sunnyside - Gus Ryder Pool,
Parkside Dr / Bloor St W - SMART,
Bloor St W / High Park Ave (High Park),
Lake Shore Blvd W / Windermere Ave,
Lake Shore Blvd W / The Boulevard Club,
Martin Goodman Trail (Marilyn Bell Park),
King St W / Wilson Park Blvd,
Dundas St W / Roncesvalles Ave Green P -SMART,
Garden Ave / Roncesvalles Ave,
Wright Ave / Sorauren Ave - SMART,
Queen St W / Fuller Ave - SMART,
King St W / Cowan Ave - SMART,
Roncesvalles Ave / Marmaduke St,
Bay St / College St (West Side) - SMART,
Thompson St / Broadview Ave - SMART,
Ward St / Wallace Ave,
Sorauren Ave / Geoffrey St - SMART,
Bloor St W / Manning Ave - SMART,
Bloor St W / Shaw St - SMART,
Lake Shore Blvd W / Ontario Dr,
Exhibition GO Station,
Dufferin Gate - SMART,
Yonge St / Bloor St,
Howard Park Ave / Dundas St W - SMART,
Baldwin St / Spadina Ave - SMART,
Lakeview Ave / Harrison St (Green P)  SMART,
Ursula Franklin St / St. George St - SMART,
Robert St / Bloor St W - SMART,
John St / Mercer St - SMART,
Vanauley St / Queen St W - SMART,
Dundas St W / St. Patrick St,
Queen St E / Rushbrooke Ave,
Lower Spadina Ave / Lake Shore Blvd W,
Spadina Ave / Adelaide St W,
Queens Quay E / Lower Sherbourne St,
Wychwood Ave / Benson Ave - SMART,
Bloor St E / Huntley St - SMART,
Wallace Ave / Symington Ave - SMART,
Victoria Park Subway Station - SMART,
Dundas St E / Pembroke St - SMART,
111 Bond St (North of Dundas St E) - SMART,
Toronto Eaton Centre (Yonge St) - SMART,
Church St / Dundas St E - SMART,
Yonge St / Alexander St - SMART,
Yonge St / Dundonald St - SMART,
Bay St / Charles St W - SMART,
Queen's Park Cres E / Grosvenor St - SMART,
Bloor St W / Balmuto St,
Chorley Park - SMART,
Mallon Ave / Jones Ave -SMART,
Rosehill Ave / Avoca Ave - SMART,
Charles St E / Jarvis St - SMART,
Charles St W / Balmuto St - SMART,
Front St W / Bay St (South Side),
University Ave / King St W - SMART,
Spadina Ave / Harbord St - SMART,
Gerrard St E / Broadview Ave - SMART,
Queen St E / Pape Ave - SMART,
Humber Bay Shores Park West,
Humber Bay Shores Park East,
190 Queens Quay E,
Granby St / Church St - SMART,
Westmoreland Ave / Fernbank Ave,
Havelock St / Dufferin Park,
Bathurst St / Adelaide St W,
Mill St / Parliament St,
Primrose Ave / Davenport Rd,
Winona Dr / Davenport Rd,
Queen St E / Woodward Ave,
Queen St E / Rhodes Ave,
Sherbourne St / Isabella St,
Amelia St / Sumach St,
Lower Coxwell Ave / Lake Shore Blvd E,
Queen St. E / Eastern Ave,
Queen St E / Hammersmith Ave,
Queen St. E / Spruce Hill Rd.,
Hubbard Blvd / Balsam Av,
Hubbard Blvd / Glen Manor Dr,
Lake Shore Blvd E / Knox Ave,
Front St W / University Ave (1),
Front St W / University Ave (2),
East Liberty St / Western Battery Rd,
457 King St W,
King St W / Charlotte St,
Davenport Rd / Lansdowne Ave,
Davenport Rd / Dovercourt Rd - SMART,
Roxborough St W / Yonge St,
Coxwell Ave / Plains Rd,
200 Bloor St E,
King St E / Victoria St,
Simcoe St / Wellington St W North,
Bay St / Bloor St W (West Side),
Queen St E / Alton Av,
Gerrard Square Mall (1010 Gerrard St E),
Logan Ave / Bain Ave,
Carlaw Ave / Strathcona Ave,
Blake St / Boultbee Ave,
Eastern Ave / Winnifred Ave,
Morse St / Eastern Ave,
Alton Ave / Dundas St E (Greenwood Park),
Cherry Beach,
Cherry Beach Sports Fields (55 Unwin Ave),
Logan Av / Gerrard St E,
Regal Rd / Dufferin St,
Pape Ave / Gamble Ave,
Gamble Ave / Broadview Ave,
Broadview Ave / Westwood Ave,
Pretoria Ave / Broadview Ave,
Cosburn Ave / Donlands Ave,
Fulton Ave / Pape Ave,
Tommy Thompson Park (Leslie Street Spit),
Beltline Trail / Chaplin Cres,
King St E / Berkeley St,
Lake Shore Blvd E / Leslie St,
Galbraith Rd / King's College Rd,
Rosedale Park (20 Scholfield Ave),
Concord Ave / Dewson St,
Hocken Ave / Vaughan Rd,
St Clair Ave W / Bathurst St.,
Wells Hill Ave / St Clair Ave W,
Queen St E / Nursewood Rd,
Kew Beach Ave / Kenilworth Ave,
Fort York Blvd / Bathurst St - SMART,
Alma Ave / Gladstone Ave SMART,
Lisgar St / Dundas St W - SMART,
Eglinton Ave W / Henning Ave SMART,
George St / King St E,
Frederick St / The Esplanade,
Front St E / Scott St,
Frobisher Ave / Lascelles Blvd,
Balliol St / Yonge St SMART,
Yonge St / Davisville Ave,
Lawton Blvd / Yonge St,
Erskine Ave / Yonge St SMART,
Yonge St / Orchard View Blvd,
12 Harbour St,
Cumberland St / Bay St SMART,
20 Charles St E,
D'Arcy St / McCaul St - SMART,
Mortimer Ave / Carlaw Ave SMART,
Broadview Subway Station,
College Park - Gerrard Entrance,
Yonge St / Dundas Sq,
Dentonia Park,
York St / Lake Shore Blvd W,
Lower Jarvis St / Queens Quay E,
Polson Pier,
Lascelles Blvd / Eglinton Ave W,
Roehampton Ave / Mount Pleasant Rd,
University Ave / Queen St W,
Isabella St / Church St,
Howard St / Rose Ave,
Little Norway Park,
King St W / Crawford St,
Keele St / Annette St,
Keele St / Vine Ave,
Spadina Ave / Blue Jays Way,
King St W / Jordan St,
College Park - Yonge St Entrance,
Bloor St W / Huron St,
Barton Ave / Howland Ave - SMART,
Tyndall Ave / King St W - SMART,
Merton St / Mount Pleasant Rd,
The Queensway at South Kingsway,
Northern Dancer Blvd / Lake Shore Blvd E,
Woodbine Ave / Lake Shore Blvd E,
Woodbine Subway Station,
Marilyn Bell Park Tennis Court,
Gerrard St E / Leslie St,
Frederick St / King St E,
Dundas St E / Boulton Ave - SMART,
Via Italia / Mackay Ave,
Rushton Rd / St Clair Ave W,
Concord Ave / Bloor St W,
Gothic Ave / Quebec Ave,
Pacific Ave / Glenlake Ave,
Lonsdale Rd / Spadina Rd,
Dundas St E / George St,
Clendenan Ave / Rowland St - SMART,
Eastwood Rd / Coxwell Ave,
Orchard Park,
Trent Ave / Danforth Ave,
Goodwood Park Crt / Dentonia Park,
Cosburn Ave / Cedarvale Ave,
Carlaw Ave / Danforth Ave,
Western Battery Rd / Pirandello St,
Bleecker St / St James Ave,
Jarvis St / Maitland Pl,
Pottery Rd / Lower Don River Trail,
E.T. Seton Park (Eglinton Ave E / Leslie St),
Queen's Park Cres W / Hoskin Ave,
Church St / Lombard St,
St Clair Ave W / Winona Dr,
High Park Outdoor Pool,
High Park Amphitheatre,
Richmond St E / Yonge St,
Russell Hill Rd / St Clair Ave W,
Glendonwynne Rd / Bloor St W,
Lower Simcoe St / Bremner Blvd,
Front St W / Simcoe St,
York St / Wellington St W,
Adelaide St W / Strachan Ave,
Clarence Square,
Jarvis St / Richmond St E,
Symington Ave / Dupont St,
Antler St / Campbell Ave - SMART,
Ellis Ave / The Queensway,
Jane St / Bloor St W (Jane Subway Station),
Neil McLellan Park,
Southwood Dr / Kingston Rd - SMART,
Briar Hill Ave / Yonge St - SMART,
Blythwood Rd / Yonge St - SMART,
Gerrard St E / Main St,
Eastwood Rd / Woodbine Ave - SMART,
Summerhill Ave / Maclennan Ave,
Sumach St / Queen St E,
Cherry St / Lake Shore Blvd E,
Sackville St / Eastern Ave - SMART,
Davenport Rd / McAlpine St - SMART,
Sunnyside Ave / The Queensway - SMART,
128 Sterling Rd - SMART,
Humberside Grounds - SMART,
University Ave / College St (East),
Gerrard St E / Malvern Ave - SMART,
Gerrard St E / Victoria Park Ave - SMART,
Ontario St / Adelaide St E -SMART,
Berkeley St / Adelaide St E - SMART,
Berkeley St / Dundas St E - SMART,
Humber Bay Shores Park / Marine Parade Dr,
Amos Waites Park,
Superior Ave / Lake Shore Blvd W,
Ripley Ave / Ormskirk Ave,
Lake Shore Blvd W / Colborne Lodge Dr,
406 Oakwood Ave,
St Clarens Ave / Shirley St,
Emerson Ave / Bloor St W,
Wallace Ave / Pauline Ave,
Lynn Williams St / East Liberty St - SMART,
Lisgar Park,
Bartlett Parkette,
Joseph J Piccininni Community Centre,
Spadina Rd / Austin Terrace,
Symington Ave / Davenport Rd,
Sherbourne St N / Elm Ave,
541 Huron St - SMART,
Housey St / Dan Leckie Way,
Walnut Ave / Queen St W,
Palmerston Ave / Dundas St W,
Euclid Ave / Herrick St - SMART,
Vaughan Rd /Wychwood Ave,
Davisville Ave / Pailton Cres,
Alvin Ave / St Clair Ave E,
Bellwoods Ave / Treford Pl - SMART,
Queen St W / John St,
Nassau St / Bellevue Ave,
Baldwin St / Henry St,
Ross St / Cecil St - SMART,
Orde St / McCaul St,
St. Joseph St / Bay St - SMART,
439 Sherbourne St,
Lake Shore Blvd W / Thirty Ninth Street,
Lake Shore Blvd W / Twenty Fourth St,
Humber College,
Royal York Rd / Mimico Ave,
Windsor St / Newcastle St,
The Queensway / High St,
Berry Rd / Bell Manor Dr,
Swansea Community Centre,
Annette St / Jane St,
Priscilla Ave / Dundas St W,
St Clair Ave W / Castleton Ave,
Durie St / Dundas St W,
St Clair Ave W / Gunns Rd,
Weston Rd / St Clair Ave W - SMART,
Weston Lions Park,
Jameson Ave / Queen St W,
Toronto Inukshuk Park,
Carlaw Ave / Dundas St E,
Highfield Rd / Gerrard St E,
Cosburn Ave / Durant Ave,
Bayview Ave / Lawren Harris Square,
Front St E / Bayview Avenue,
Oak St / Sumach St,
Glebe Rd W / Yonge St,
Hillsdale Ave W / Yonge St,
High Park Ave / Dundas St W,
Alameda Ave / Vaughan Rd - SMART,
Eglinton Ave W / Scarlett Rd,
The Pond Rd / Sentinel Rd,
Sentinel Rd / Finch Corridor Trail,
Finch West Subway Station,
Dufferin St / Finch Corridor Trail,
G Ross Lord Park,
Torresdale Ave / Antibes Dr,
Esther Shiner Stadium,
Elwood Blvd / Avenue Rd,
Roehampton Ave / Bayview Ave,
Fleming Cres / Bayview Ave,
Moore Park,
Langford Ave / Danforth Ave - SMART,
Yonge St / Golfdale Rd,
Teddington Park Ave / Yonge St,
Richmond St W / York St,
Ursula Franklin St / Huron St - SMART,
Brick Works,
Woodbine Ave / O'Connor Dr,
O'Connor Dr / Curity Ave - Smart,
St Columba Pl / St Clair Ave E,
Lumsden Ave / Eastdale Ave,
Dawes Rd / Taylor Creek Trl,
Fairmount Park,
Wilket Creek Park,
Sunnybrook Park,
Kingston Rd / Beech Ave,
Victoria Park Ave / Danforth Ave,
Livingston Rd / Guildwood Pkwy,
Livingston Rd (Highland Creek Trail),
Morningside Park (Highland Creek Trail),
Colonel Danforth Park,
Waterfront Trail (Rouge Hill),
Starspray Blvd / Lawrence Ave E,
Vaughan Rd / Oakwood Ave,
Braemar Ave / Eglinton Ave W,
Eglinton Ave E / Redpath Ave,
Marie Curtis Park,
Royal York Rd / Lake Shore Blvd W,
Guildwood GO Station (South),
Yonge St / Lawrence Ave E,
Rouge Hill GO Station,
Shaw St / Essex St - SMART,
Lundy Ave / Étienne Brûlé Park,
Twelfth St / Thirteenth St,
Florence Gell Park,
Chiltern Hill Rd / Eglinton Ave W,
Noble St / Queen St W,
Runnymede Rd / Annette St,
Bloor St W / Riverside Dr,
Judson St / Royal York Rd,
135 Queens Wharf Rd - SMART,
Spadina Rd / St.Clair Ave West,
Annette St / Dundas St W,
Yonge St / St Clair Ave,
Oriole Pkwy / Kilbarry Rd,
East Lynn Ave / Danforth Ave,
University of Toronto Scarborough,
University Ave / Richmond St W,
Elm St/ University Ave (East Side),
St Clair West Subway Station - Heath Entrance,
Bloor St W / Pacific Ave,
Danforth Ave / Dewhurst Blvd,
Bloor St W / Brock Ave,
1 Market St - SMART,
King's Mill Park,
Amroth Ave / Danforth Ave,
285 Victoria St,
Beaty Ave / Queen St W,
Kilgour Rd / Rumsey Rd,
Sunnybrook Health Centre - L Wing,
Sunnybrook Health Centre - S Wing,
Dundas St W / St Helen's Ave - SMART,
Spadina Ave / Sussex Ave - SMART,
Simcoe St / Dundas St W - SMART,
Yonge St / Montgomery Ave - SMART,
1525 Dundas St W,
York University (Glendon Campus) - SMART,
1303 Yonge St - SMART,
York University Station (South) - SMART,
York University Station (North),
Princes' Blvd / Nunavut Rd,
25 Booth Ave,
Bathurst St / Front St W,
Bay St / Harbour St (East),
King St W / Brant St,
Lower Jarvis St / The Esplanade,
Bloor St W / Gladstone Ave - SMART,
High Park Blvd / Parkside Dr,
Christie St / Dupont St,
85 Lee Ave,
Mutual St / Shuter St (Arena Gardens),
Victoria Park Ave / Dawes Rd,
Queen St E / Joseph Duggan Rd,
Heyworth Cres / Kingston Rd,
St Clair Ave W / Caledonia Rd,
St Clair Ave W / Oakwood Ave,
St Clair Ave W / Robina Ave,
Roncesvalles Ave / Fermanagh Ave,
111 Broadview Ave,
Oak St / Sackville St,
24 Mountjoy Ave,
Colgate Ave / Carlaw Ave,
Felstead Ave/Gillard Ave (Monarch Park),
Coronation Park (Martin Goodman Trail),
101 Cedarvale Ave,
Beltline Trail / Yonge St,
11 Spadina Rd,
Havelock St / Dewson St,
Queen St W / Shaw St,
Temperance St / Bay St,
Lumsden Ave / Cedarvale Ave,
Church St / The Esplanade,
Niagara St / Portland St,
St. Andrew's Playground Park,
Wolseley St / Augusta Ave,
King St W / Portland St,
Widmer St / King St W,
Wellesley St E / Parliament St,
Randolph Ave / Perth Ave,
265 Armadale Ave,
800 Fleet St (South),
Victoria Park Ave / Kingston Rd,
Kingston Rd / Warden Ave,
Pharmacy Ave / Danforth Ave,
Danforth Ave / Warden Ave,
Birchcliff Ave / Kingston Rd,
Birchmount Rd / Kingston Rd,
Kingston Rd / Glen Everest Rd,
Highview Ave / Kennedy Rd,
Kingston Rd / Ridgemoor Ave,
Sharpe St / Park St (Sandown Park),
Howard Park Ave / Parkside Dr,
Eglinton Ave W / Prospect Cemetery,
Eglinton Ave W / Gilbert Ave,
Rogers Rd / Prospect Cemetery,
Bert Robinson Park,
Marlee Ave / York Beltline Trail,
Eglinton Ave W / Ennerdale Rd,
Bloor St W / Old Mill Trl,
Wendover Rd / Bloor St W (Green P),
Luttrell Ave / Danforth Ave,
Willingdon Blvd / Bloor St W (Green P),
1926 Lake Shore Blvd W,
36 Park Lawn Rd,
Walter Saunders Park,
Park Lawn Rd / Berry Rd,
Tobermory Dr / Finch Corridor Trail,
The Well,
Driftwood Ave / Finch Corridor Trail,
The Pond Rd / Shoreham Dr,
Grand Avenue Park,
Moss Park,
College St / Henry St,
St. John's Rd / Dundas St W,
Albany Ave / Bloor St W,
Pioneer Village Subway Station,
Armoury St / Chestnut St,
Lake Shore Blvd W / Brow Dr,
Spadina Ave / Sullivan St,
St. Clair Ave W / Osler St,
Simcoe St / King St W,
Grenoble Dr / Gateway Blvd,
Grenoble Dr / Deauville Ln,
Grenoble Dr / Vendome Pl,
Ferrand Dr / Rochefort Dr,
Thorncliffe Park Dr / Leaside Park Trail,
75 Thorncliffe Park Dr,
165 McRae Dr,
Mount Pleasant Rd / Davisville Ave - SMART,
St Clair Ave W / Avenue Rd,
Downsview Park Subway Station - SMART,
60 Carl Hall Rd - SMART,
Downsview Park Blvd / Keele St - SMART,
Keele St / Dovehouse Ave - SMART,
HTO Park West,
Queens Quay E / Lower Jarvis St,
75 Holly St,
Lynn Williams St / Pirandello St,
Ossington Ave / Bruce St,
York St / Harbour St (Love Park),
519 Church St - SMART,
Dundas St E / River St,
Shuter St/River St,
